price_accounting,department,stock_count,location,final_id,match_type
414.68,Tools,94.0,Bin-147,1447.0,Fully Synchronized
448.38,Elec,45.0,Bin-643,1456.0,Fully Synchronized
235.72,Tools,2.0,Bin-674,1861.0,Fully Synchronized
204.48,Garden,62.0,Bin-934,1798.0,Fully Synchronized
400.02,Elec,81.0,Bin-396,1898.0,Fully Synchronized
472.09,Garden,9.0,Bin-590,1509.0,Fully Synchronized
147.15,Elec,6.0,Bin-821,1285.0,Fully Synchronized
270.41,Garden,61.0,Bin-219,1123.0,Fully Synchronized
93.24,Elec,73.0,Bin-286,1800.0,Fully Synchronized
366.49,Garden,28.0,Bin-120,1738.0,Fully Synchronized
218.45,Tools,5.0,Bin-238,1937.0,Fully Synchronized
146.73,Elec,6.0,Bin-560,1454.0,Fully Synchronized
289.32,Tools,29.0,Bin-455,1598.0,Fully Synchronized
57.23,Tools,47.0,Bin-843,1589.0,Fully Synchronized
350.83,Elec,69.0,Bin-548,1497.0,Fully Synchronized
467.17,Tools,,,1792.0,"In Accounting, Missing from WMS"
152.35,Elec,49.0,Bin-369,1177.0,Fully Synchronized
354.93,Hardware,18.0,Bin-690,1375.0,Fully Synchronized
192.88,Tools,76.0,Bin-809,1315.0,Fully Synchronized
255.82,Hardware,99.0,Bin-160,1649.0,Fully Synchronized
160.31,Tools,6.0,Bin-675,1321.0,Fully Synchronized
166.39,Elec,61.0,Bin-318,1170.0,Fully Synchronized
368.77,Garden,22.0,Bin-51,1763.0,Fully Synchronized
306.37,Garden,39.0,Bin-107,1980.0,Fully Synchronized
48.53,Hardware,,,1645.0,"In Accounting, Missing from WMS"
286.49,Elec,,,1681.0,"In Accounting, Missing from WMS"
95.49,Elec,9.0,Bin-601,1700.0,Fully Synchronized
323.93,Tools,44.0,Bin-247,1500.0,Fully Synchronized
201.85,Tools,63.0,Bin-370,1184.0,Fully Synchronized
153.36,Elec,94.0,Bin-692,1086.0,Fully Synchronized
313.63,Garden,25.0,Bin-152,1897.0,Fully Synchronized
146.71,Garden,45.0,Bin-565,1950.0,Fully Synchronized
440.91,Tools,83.0,Bin-193,1265.0,Fully Synchronized
107.17,Garden,86.0,Bin-123,1151.0,Fully Synchronized
28.01,Tools,36.0,Bin-131,1519.0,Fully Synchronized
377.06,Garden,26.0,Bin-777,1570.0,Fully Synchronized
17.77,Hardware,56.0,Bin-710,1505.0,Fully Synchronized
240.12,Tools,65.0,Bin-63,1504.0,Fully Synchronized
277.09,Garden,50.0,Bin-841,1277.0,Fully Synchronized
192.17,Tools,67.0,Bin-680,1012.0,Fully Synchronized
303.12,Hardware,15.0,Bin-357,1708.0,Fully Synchronized
386.2,Hardware,27.0,Bin-39,1544.0,Fully Synchronized
192.75,Hardware,66.0,Bin-588,1634.0,Fully Synchronized
474.94,Hardware,27.0,Bin-392,1425.0,Fully Synchronized
65.62,Garden,33.0,Bin-766,1287.0,Fully Synchronized
439.17,Hardware,49.0,Bin-941,1607.0,Fully Synchronized
307.21,Hardware,97.0,Bin-223,1292.0,Fully Synchronized
132.44,Elec,3.0,Bin-265,1033.0,Fully Synchronized
296.5,Hardware,84.0,Bin-659,1152.0,Fully Synchronized
357.83,Garden,45.0,Bin-144,1939.0,Fully Synchronized
408.61,Tools,69.0,Bin-220,1795.0,Fully Synchronized
486.88,Elec,18.0,Bin-605,1336.0,Fully Synchronized
413.06,Tools,69.0,Bin-413,1009.0,Fully Synchronized
420.74,Tools,28.0,Bin-362,1790.0,Fully Synchronized
342.69,Garden,76.0,Bin-277,1533.0,Fully Synchronized
311.57,Elec,,,1241.0,"In Accounting, Missing from WMS"
364.7,Tools,23.0,Bin-811,1887.0,Fully Synchronized
476.84,Tools,57.0,Bin-187,1488.0,Fully Synchronized
143.81,Hardware,4.0,Bin-140,1983.0,Fully Synchronized
441.54,Tools,,,1974.0,"In Accounting, Missing from WMS"
371.7,Garden,72.0,Bin-696,1534.0,Fully Synchronized
98.04,Garden,27.0,Bin-1,1405.0,Fully Synchronized
358.4,Hardware,55.0,Bin-208,1678.0,Fully Synchronized
66.78,Hardware,76.0,Bin-778,1396.0,Fully Synchronized
121.0,Elec,3.0,Bin-830,1514.0,Fully Synchronized
13.72,Garden,94.0,Bin-114,1445.0,Fully Synchronized
400.61,Tools,44.0,Bin-231,1600.0,Fully Synchronized
106.1,Hardware,86.0,Bin-884,1899.0,Fully Synchronized
130.79,Elec,14.0,Bin-419,1633.0,Fully Synchronized
379.92,Elec,19.0,Bin-390,1186.0,Fully Synchronized
183.31,Hardware,98.0,Bin-546,1409.0,Fully Synchronized
289.6,Garden,13.0,Bin-488,1535.0,Fully Synchronized
51.59,Elec,82.0,Bin-740,1441.0,Fully Synchronized
455.07,Elec,,,1021.0,"In Accounting, Missing from WMS"
188.9,Elec,81.0,Bin-727,1856.0,Fully Synchronized
46.87,Tools,81.0,Bin-864,1608.0,Fully Synchronized
62.82,Elec,89.0,Bin-101,1517.0,Fully Synchronized
67.84,Elec,93.0,Bin-256,1836.0,Fully Synchronized
475.81,Elec,82.0,Bin-394,1251.0,Fully Synchronized
123.64,Tools,21.0,Bin-510,1529.0,Fully Synchronized
363.62,Garden,30.0,Bin-361,1234.0,Fully Synchronized
119.54,Tools,53.0,Bin-110,1131.0,Fully Synchronized
498.72,Tools,84.0,Bin-609,1869.0,Fully Synchronized
164.81,Hardware,52.0,Bin-814,1273.0,Fully Synchronized
240.51,Garden,12.0,Bin-451,1262.0,Fully Synchronized
481.44,Tools,91.0,Bin-579,1626.0,Fully Synchronized
305.42,Hardware,19.0,Bin-218,1316.0,Fully Synchronized
275.74,Hardware,61.0,Bin-882,1846.0,Fully Synchronized
239.38,Elec,49.0,Bin-52,1114.0,Fully Synchronized
29.35,Hardware,89.0,Bin-664,1930.0,Fully Synchronized
389.31,Elec,21.0,Bin-241,1361.0,Fully Synchronized
471.11,Garden,88.0,Bin-670,1910.0,Fully Synchronized
301.89,Elec,31.0,Bin-352,1129.0,Fully Synchronized
52.4,Hardware,79.0,Bin-926,1479.0,Fully Synchronized
84.39,Tools,47.0,Bin-41,1062.0,Fully Synchronized
24.71,Elec,31.0,Bin-261,1676.0,Fully Synchronized
359.22,Tools,89.0,Bin-432,1575.0,Fully Synchronized
